organism,antibiotic,count_full,organism_name,antibiotic_name
0,24,204,ACHROMOBACTER XYLOSOXIDANS,Piperacillin/Tazobactam
0,14,198,ACHROMOBACTER XYLOSOXIDANS,Gentamicin
0,26,198,ACHROMOBACTER XYLOSOXIDANS,Tobramycin
10,18,196,MORGANELLA MORGANII,Meropenem
10,5,196,MORGANELLA MORGANII,Cefazolin
10,0,196,MORGANELLA MORGANII,Amikacin
10,9,196,MORGANELLA MORGANII,Ceftriaxone
10,12,196,MORGANELLA MORGANII,Ertapenem
10,14,196,MORGANELLA MORGANII,Gentamicin
10,2,196,MORGANELLA MORGANII,Ampicillin
10,27,196,MORGANELLA MORGANII,Trimethoprim/Sulfamethoxazole
10,10,192,MORGANELLA MORGANII,Ciprofloxacin
10,8,189,MORGANELLA MORGANII,Ceftazidime
10,24,189,MORGANELLA MORGANII,Piperacillin/Tazobactam
10,25,184,MORGANELLA MORGANII,Tetracycline
10,1,184,MORGANELLA MORGANII,Amoxicillin/Clavulanic Acid
10,26,184,MORGANELLA MORGANII,Tobramycin
10,20,184,MORGANELLA MORGANII,Nitrofurantoin
0,15,172,ACHROMOBACTER XYLOSOXIDANS,Imipenem
3,5,167,COAG NEGATIVE STAPHYLOCOCCUS,Cefazolin
1,25,165,CITROBACTER FREUNDII COMPLEX,Tetracycline
10,16,164,MORGANELLA MORGANII,Levofloxacin
18,10,148,STAPHYLOCOCCUS AUREUS,Ciprofloxacin
2,26,123,CITROBACTER KOSERI,Tobramycin
5,16,121,ENTEROCOCCUS FAECALIS,Levofloxacin
10,7,108,MORGANELLA MORGANII,Cefoxitin
8,10,91,KLEBSIELLA OXYTOCA,Ciprofloxacin
8,14,91,KLEBSIELLA OXYTOCA,Gentamicin
8,24,91,KLEBSIELLA OXYTOCA,Piperacillin/Tazobactam
8,2,91,KLEBSIELLA OXYTOCA,Ampicillin
8,16,91,KLEBSIELLA OXYTOCA,Levofloxacin
8,27,91,KLEBSIELLA OXYTOCA,Trimethoprim/Sulfamethoxazole
8,5,90,KLEBSIELLA OXYTOCA,Cefazolin
8,9,79,KLEBSIELLA OXYTOCA,Ceftriaxone
18,5,76,STAPHYLOCOCCUS AUREUS,Cefazolin
8,20,76,KLEBSIELLA OXYTOCA,Nitrofurantoin
